Operador,Numero Query,Query,Precision,Recall,F1,NDCG,AVG Precision,AVG Recall,AVG F1,AVG NDCG,IndexData,Weigth_NormOps,Treshold_NormOps,Min Clauses_NormOps,Input WeigthNorm,Function_NormOps,FieldName_Clauses,IdField_clauses,DocData_clauses,DocDataNorm_clauses,Weigth_clauses,Max_clauses,Power_clauses
NormOps,1," the crystalline lens in vertebrates, including humans. ",0.0,0.0,0,0.0,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,2, the relationship of blood and cerebrospinal fluid oxygen concentrations or partial pressures.  a method of interest is polarography. ,0.0,0.0,0,0.0,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,3, electron microscopy of lung or bronchi. ,0.8,0.4,0.5333333333333333,0.5637884576902257,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,4, tissue culture of lung or bronchial neoplasms. ,0.6666666666666666,0.2,0.30769230769230765,0.24890832702259466,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,5, the crossing of fatty acids through the placental barrier.  normal fatty acid levels in placenta and fetus. ,0.2,0.2,0.20000000000000004,0.24890832702259466,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,6, ventricular septal defect occurring in association with aortic regurgitation. ,0.4,0.4,0.4000000000000001,0.35424542315054164,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,7," radioisotopes in heart scanning.  mainly used in diagnosis of pericardial effusions.  also used to study tumors, heart enlargement, aneurysms and pericardial thickening.  technetium, rihsa, radioactive hippurate, cholegraffin are used. ",0.1,0.1,0.10000000000000002,0.07336392209936006,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,8," the effects of drugs on the bone marrow of man and animals, specifically the effect of pesticides.  also, the significance of bone marrow changes. ",0.0,0.0,0,0.0,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,9," the use of induced hypothermia in heart surgery, neurosurgery, head injuries and infectious diseases. ",0.1,0.1,0.10000000000000002,0.13886244387355456,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,10, neoplasm immunology. ,0.2,0.1,0.13333333333333333,0.2200917662980802,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,11, blood or urinary steroids in human breast or prostatic neoplasms. ,0.4,0.4,0.4000000000000001,0.48189984052515566,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,12," effect of azathioprine on systemic lupus erythematosus, particularly in regard to renal lesions. ",0.1,0.1111111111111111,0.10526315789473685,0.11752277470724269,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,13," bacillus subtilis phages and genetics, with particular reference to transduction. ",0.1111111111111111,0.1,0.10526315789473685,0.08514311764162101,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,14, renal amyloidosis as a complication of tuberculosis and the effects of steroids on this condition.  only the terms kidney diseases and nephrotic syndrome were selected by the requester.  prednisone and prednisolone are the only steroids of interest. ,0.0,0.0,0,0.0,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,15," homonymous hemianopsia in visual aphasia, particularly measurement and assessment.  gerstmann's syndrome and agnosia are also of interest. ",0.0,0.0,0,0.0,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,16," separation anxiety in infancy (i.e. up to two years of age) and in preschool children, particularly separation of a child from its mother. ",0.0,0.0,0,0.0,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,17," nickel in nutrition:  requirements for methods for analysis; relation with enzyme systems; toxicity of, in humans and laboratory animals; deficiency signs and symptoms; level in various foodstuffs; level in blood and tissues. ",0.0,0.0,0,0.0,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,18, the toxicity of organic selenium compounds. ,0.2,0.1,0.13333333333333333,0.13886244387355456,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,19, excretion of phosphate or pyrophosphate in the urine or the effect of parathyroid hormone on kidney. ,0.0,0.0,0,0.0,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,20," somatotropin as it effects bone, bone development, regeneration, resorption, bone cells, osteogenesis, physiologic calcification or ossification, cartilage and bone diseases in general.  somatotropin as it relates to hypophysectomy, pituitary function, diseases, dwarfism, neoplasms, hypopituitarism and hyperpituitarism, and growth in general. ",0.1,0.1,0.10000000000000002,0.13886244387355456,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,21, language development in infancy and pre-school age. ,0.5,0.1,0.16666666666666669,0.2200917662980802,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,22," mycoplasma (infection or presence) in embryo, fetus, newborn infant or animal, or in pregnancy, gynecologic diseases, or as related to chromosomes or chromosome abnormalities. ",0.0,0.0,0,0.0,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,23, infantile autism. ,0.7,0.7,0.7,0.7529694065526482,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,24, compensatory renal hypertrophy - - stimulus resulting in mass increase (hypertrophy) and cell proliferation (hyperplasia) in the remaining kidney following unilateral nephrectomy in mammals. ,0.0,0.0,0,0.0,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,25," use of chlorothiazide (diuril) or hydrochlorothiazide (hydrodiuril) in the treatment of nephogenic diabetes insipidus in children; also, use of low sodium diets and aldactone (spironolactone) in the treatment of childhood nephogenic diabetes insipidus. ",0.0,0.0,0,0.0,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,26, methods for experimental production of and known causes of hydrocephalus in animals and humans. ,0.1,0.1,0.10000000000000002,0.1100458831490401,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,27," interested in the parasitic diseases.  filaria parasites found in primates, the insect vectors of filaria, the related diptera, i. e., culicoides, mosquitos, etc., that may serve as vectors of this infection-disease; also the life cycles and transmission of the filaria.  parasites and ecology of the taiwan monkey, macaca cyclopis, with emphasis on the filarial parasite, macacanema formosana. ",0.0,0.0,0,0.0,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,28," palliation (temporary improvement) of cancer patients by using drugs, x-ray, surgery. ",0.6,0.6,0.6,0.6804503724350792,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,29, hereditary implications of prolonged neonatal obstructive jaundice associated with liver pathology.  there are but two relatively common well-defined pathologic entities that present as such:  1) bile duct or biliary atresia and 2) giant cell transformation of the liver often referred to as neonatal hepatitis.  information regarding liver and bile duct embryogenesis will be an important adjunct to papers on the disease processes. ,0.0,0.0,0,0.0,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
